time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,best_relat_regret,best_epoch,epoch,patience,tl,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
30,10,1,12,100,200,cla,0,0,IMLE,0.001,0.35932482807026306,4,4,5,30,0.35932482905685903,0.11469014939826837,0.35806453444063663,0.10388113634599663
30,10,1,12,100,200,MSE,0,0,IMLE,0.001,0.30996613837278403,3506,3506,5,30,0.30996613927185535,0.08585831156446051,0.3103767068237066,0.07939380588158929
60,10,1,12,100,200,cla,0,0,IMLE,0.001,0.360763796614676,10,10,5,60,0.360763798058033,0.09907681976520619,0.36287723855674264,0.10150046286000153
30,10,1,12,100,200,cla,0,0,IMLE,0.01,0.2934203524203949,3,3,5,30,0.2934203526377678,0.08081882871103784,0.29827954651787875,0.0823768613668567
60,10,1,12,100,200,MSE,0,0,IMLE,0.001,0.296862386196797,7110,7110,5,60,0.29686238631606104,0.08986378253884625,0.29601437599956987,0.08083112199176999
30,10,1,12,100,200,MSE,0,0,IMLE,0.01,0.12395063858495087,3356,3356,5,30,0.12395063904114068,0.16004355560424002,0.1277230760511011,0.1603873896064823
300,10,1,12,100,200,cla,0,0,IMLE,0.001,0.278320717826181,36,36,5,300,0.2783207195997238,0.08352618297693563,0.27216852785646917,0.07504390503672989
300,10,1,12,100,200,MSE,0,0,IMLE,0.001,0.2153478743381097,35197,35197,5,300,0.2153478752821684,0.10829811150994252,0.2277140271924436,0.10647903482801278
600,10,1,12,100,200,cla,0,0,IMLE,0.001,0.2163179470671765,64,64,5,600,0.21631794780492783,0.06561782036580463,0.22469634679704906,0.06993789353858311
600,10,1,12,100,200,MSE,0,0,IMLE,0.001,0.1533851504154749,72766,72766,5,600,0.15338515065610409,0.13137515027242805,0.16473963009379805,0.13664617888011207
3600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.3173973989349459,713,714,5,3600,0.3173973996192217,0.09949841640406687,0.2999131392017007,0.08850814663625056
3600,10,1,12,100,200,cla,0,0,IMLE,0.1,0.03913573423062761,326,326,5,3600,0.03913573449943215,0.03233541773660942,0.04059665937046521,0.04317343835607865
3600,10,1,12,100,200,cla,0,0,IMLE,0.01,0.043040765021196234,183,183,5,3600,0.04304076487198472,0.044068701028895534,0.043976246823789554,0.05328473975455048
3600,10,1,12,100,200,cla,0,0,IMLE,0.001,0.19367462149137007,281,281,5,3600,0.1936746222525835,0.0581065212841435,0.18329786285758018,0.060736683460281285
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.28365156898831123,182,183,5,3600,0.28365157030522825,0.08973303783580146,0.30043564025312663,0.08952214002837444
3600,10,1,12,100,200,cla,0,0,SPOPlus,0.001,0.13025934547485402,10507,10507,5,3600,0.1302593458816409,0.0491645668540881,0.13390458892844617,0.0528467265517818
3600,10,1,12,100,200,SG,1,30,IMLE,0.001,0.3187975392676366,62,63,5,3600,0.3187975385040045,0.10017806776055113,0.31748031881451605,0.09742283805738232
3600,10,1,12,100,200,cla,0,0,SPOPlus,0.01,0.034520340375168164,251,251,5,3600,0.03452034037560225,0.035093992985782245,0.03732845253916457,0.04980856328199621
3600,10,1,12,100,200,cla,0,0,SPOPlus,0.1,0.030392378079591244,101,101,5,3600,0.030392378182150424,0.014894712628140752,0.02928227163874544,0.020905537900293737
3600,10,1,12,100,200,SG,10,5,IMLE,0.001,0.2366632693409721,2006,2007,5,3600,0.23666326992213726,0.07341347365970399,0.24081351954117416,0.07193162291721468
3600,10,1,12,100,200,SG,1,50,IMLE,0.001,0.3284645801160353,63,64,5,3600,0.32846458166837694,0.0967613687251239,0.3234076763764024,0.09019681428154445
3600,10,1,12,100,200,SG,30,5,IMLE,0.001,0.16867360714208213,4356,4357,5,3600,0.16867360774427653,0.06410259896384653,0.17914440551772715,0.06834015240829207
3600,10,1,12,100,200,SG,30,10,IMLE,0.001,0.19595102903866324,3673,3674,5,3600,0.19595102980732917,0.06322129139897964,0.2056244899109006,0.07251654822344238
3600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.22125318008736275,1299,1300,5,3600,0.22125318057835103,0.07085952077616564,0.22105451309680937,0.07612722401976356
3600,10,1,12,100,200,SG,10,30,IMLE,0.001,0.25072656315073516,559,560,5,3600,0.2507265632972121,0.08409055587205247,0.24656580413505436,0.08255557421517537
3600,10,1,12,100,200,SG,50,10,IMLE,0.001,0.1950071441426535,2928,2929,5,3600,0.195007144510746,0.07000317188533854,0.19728328220173716,0.07649375149780528
3600,10,1,12,100,200,SG,50,5,IMLE,0.001,0.2207948786251571,3549,3550,5,3600,0.22079487908631562,0.06640725256123406,0.21936889742314816,0.07050267774576863
3600,10,1,12,100,200,SG,30,30,IMLE,0.001,0.1916804778878999,1289,1290,5,3600,0.19168047815561295,0.06267054753337968,0.1933765720464289,0.06472836955114918
3600,10,1,12,100,200,SG,10,50,IMLE,0.001,0.2925090471065225,739,740,5,3600,0.292509047165513,0.08318974787158767,0.2879587102979422,0.0800050286954664
3600,10,1,12,100,200,SG,50,30,IMLE,0.001,0.13278190672724022,2949,2950,5,3600,0.13278190691024064,0.05048556255647305,0.1344808123316616,0.05734333635476857
3600,10,1,12,100,200,SG,50,50,IMLE,0.001,0.1268440834638021,2349,2350,5,3600,0.1268440844491124,0.039391985957982524,0.1276620616298169,0.04602145397579774
3600,10,1,12,100,200,SG,30,50,IMLE,0.001,0.1851765419754944,899,900,5,3600,0.18517654310911894,0.05928299809565819,0.1797773228548467,0.05957125722911877
3600,10,1,12,100,200,SG,1,10,IMLE,0.01,0.07252089172082883,371,372,5,3600,0.07252089217305184,0.03338703544991274,0.07096089960820973,0.03693062637637959
3600,10,1,12,100,200,SG,30,5,IMLE,0.01,0.13266949566128333,3122,3123,5,3600,0.1326694966852665,0.07709030107590074,0.13935698934923857,0.08069988744741774
3600,10,1,12,100,200,SG,1,5,IMLE,0.01,0.07920279602682564,700,701,5,3600,0.07920279624871909,0.04304832651085529,0.08338774503907188,0.04703702038258169
3600,10,1,12,100,200,SG,10,30,IMLE,0.01,0.08513831125810972,1089,1090,5,3600,0.08513831168413162,0.043593860142765985,0.08740319361677393,0.04998877702461479
3600,10,1,12,100,200,SG,10,5,IMLE,0.01,0.0965454940487461,2304,2305,5,3600,0.09654549438506364,0.03977224229819701,0.09535867864452302,0.04001694030402094
3600,10,1,12,100,200,SG,10,10,IMLE,0.01,0.10011678596706323,1599,1600,5,3600,0.1001167867332697,0.04349545388973204,0.10018611528724432,0.04262571028430826
3600,10,1,12,100,200,SG,30,10,IMLE,0.01,0.12257657480573556,2999,3000,5,3600,0.1225765757355839,0.06551879698967279,0.12689852736052126,0.07065105250977519
3600,10,1,12,100,200,SG,10,50,IMLE,0.01,0.06972695796362785,339,340,5,3600,0.06972695822827518,0.03383182115191695,0.0708264883281663,0.038400218658187685
3600,10,1,12,100,200,SG,1,30,IMLE,0.01,0.14519635201670403,70,71,5,3600,0.14519635248929263,0.04656501826959544,0.14466650686971844,0.049722501154374946
3600,10,1,12,100,200,SG,1,50,IMLE,0.01,0.21263036409481423,79,80,5,3600,0.21263036444783212,0.07903258628480311,0.2131254003793001,0.07412140891864662
3600,10,1,12,100,200,MSE,0,0,IMLE,0.1,0.09290027611962394,367346,367346,5,3600,0.09290027651004493,0.11351987813533619,0.08999521717242896,0.12308463657134247
3600,10,1,12,100,200,SG,30,50,IMLE,0.01,0.07795677930657932,1696,1697,5,3600,0.07795677987858653,0.03813999873173144,0.08039633555570617,0.04665437776762291
3600,10,1,12,100,200,SG,30,30,IMLE,0.01,0.08602784807980349,2249,2250,5,3600,0.08602784821763634,0.043087196948383186,0.08715255627967418,0.04421588494878899
3600,10,1,12,100,200,SG,50,5,IMLE,0.01,0.12418801042062104,4472,4473,5,3600,0.12418801134452223,0.06606646207787714,0.131760835214518,0.07227715463158468
3600,10,1,12,100,200,SG,50,10,IMLE,0.01,0.12023373916653826,3998,3999,5,3600,0.1202337396889925,0.05790375068721141,0.11980257980711759,0.05837436892332594
3600,10,1,12,100,200,SG,50,50,IMLE,0.01,0.07796019835204551,2349,2350,5,3600,0.07796019831672311,0.03761767107435282,0.07900618253927678,0.04234215541755011
3600,10,1,12,100,200,SG,50,30,IMLE,0.01,0.08045763526342001,2900,2901,5,3600,0.08045763541013003,0.03886759955226795,0.08136302859848366,0.038189752904780605
3600,10,1,12,100,200,SG,1,5,IMLE,0.1,0.08766815591080251,701,702,5,3600,0.08766815636307002,0.03415255282340051,0.08421904153749346,0.03507520283185347
3600,10,1,12,100,200,SG,1,10,IMLE,0.1,0.07311634050911123,377,378,5,3600,0.07311634099110961,0.030928054814863718,0.07293268270976841,0.03153516269007094
3600,10,1,12,100,200,SG,1,30,IMLE,0.1,0.07698145927358503,135,136,5,3600,0.0769814594835043,0.03650735520446226,0.07304712748015299,0.03463534246916906
3600,10,1,12,100,200,SG,1,50,IMLE,0.1,0.06328742992578767,49,50,5,3600,0.0632874302752316,0.026039594626759387,0.0595895060566254,0.02693717452326093
3600,10,1,12,100,200,SG,10,5,IMLE,0.1,0.09812876170751865,3244,3245,5,3600,0.0981287620589137,0.037723567143075364,0.09832005602307618,0.04139987226931024
3600,10,1,12,100,200,SG,10,50,IMLE,0.1,0.06797598266963584,726,727,5,3600,0.06797598293051124,0.026791198360728977,0.06965971979591995,0.028951816189800684
3600,10,1,12,100,200,SG,30,5,IMLE,0.1,0.09942061561501812,3165,3166,5,3600,0.09942061604931951,0.039133109588624766,0.10219467806629837,0.04508906264700876
3600,10,1,12,100,200,SG,10,10,IMLE,0.1,0.09816532904919634,1369,1370,5,3600,0.09816532965749503,0.03886726487726337,0.09540536427497864,0.03871625423590908
3600,10,1,12,100,200,SG,10,30,IMLE,0.1,0.08158210359628484,589,590,5,3600,0.08158210396766663,0.034148885431418,0.0809784136917442,0.034121465956015055
3600,10,1,12,100,200,SG,1,5,SPOPlus,0.001,0.25837899697527944,360,361,5,3600,0.25837899938225745,0.08669752814063562,0.25713811502978207,0.08260923679463421
3600,10,1,12,100,200,SG,30,10,IMLE,0.1,0.08623186953399314,3516,3517,5,3600,0.08623186968266965,0.031926925605783495,0.08516657576151192,0.03445380264834332
3600,10,1,12,100,200,SG,30,30,IMLE,0.1,0.0746990643989892,1379,1380,5,3600,0.07469906472600997,0.030699165417046214,0.07520118705835194,0.030930022345222418
3600,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.2820288829812817,185,186,5,3600,0.2820288838818669,0.08643468058617475,0.28104776676744225,0.09080087438652443
3600,10,1,12,100,200,SG,10,5,SPOPlus,0.001,0.14582512929725577,2589,2590,5,3600,0.14582513000816108,0.04714945136201292,0.14043115494213998,0.046071990303439954
3600,10,1,12,100,200,SG,30,50,IMLE,0.1,0.07487600211787905,1679,1680,5,3600,0.07487600278109312,0.031825832872388,0.07553402039874345,0.03187928347409152
3600,10,1,12,100,200,SG,50,5,IMLE,0.1,0.11062862532074069,4507,4508,5,3600,0.11062862578779459,0.0480135335111942,0.10874319349043071,0.04719406974169845
3600,10,1,12,100,200,SG,1,30,SPOPlus,0.001,0.3102795099294731,62,63,5,3600,0.3102795111387968,0.09716088663514118,0.32004605944827197,0.09333071196663179
3600,10,1,12,100,200,SG,50,10,IMLE,0.1,0.092599092484663,3050,3051,5,3600,0.09259909277781844,0.03716261403491906,0.0894329689964652,0.038025231185909586
3600,10,1,12,100,200,SG,1,50,SPOPlus,0.001,0.29951057347987264,34,35,5,3600,0.29951057516038415,0.09086543977603005,0.299791215442121,0.09167518303351367
3600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.24270206023661609,3029,3030,5,3600,0.2427020601183176,0.07915580746704563,0.23970668599009515,0.07580602362073341
3600,10,1,12,100,200,SG,50,50,IMLE,0.1,0.07669792649138157,2299,2300,5,3600,0.07669792676344514,0.03188683884129333,0.0738950216639787,0.030606930678507352
3600,10,1,12,100,200,SG,10,30,SPOPlus,0.001,0.2401345695717096,1269,1270,5,3600,0.2401345705986023,0.06937660559418285,0.2417654426023364,0.06987450793271273
3600,10,1,12,100,200,SG,10,50,SPOPlus,0.001,0.299048733049875,349,350,5,3600,0.29904873311519625,0.09374073854733733,0.3055580214560032,0.0945697848119602
3600,10,1,12,100,200,SG,50,30,IMLE,0.1,0.08251294018171333,2049,2050,5,3600,0.08251294070854782,0.032404747019260376,0.07982378132361918,0.033814909921463174
3600,10,1,12,100,200,SG,30,5,SPOPlus,0.001,0.16682547086603997,7349,7350,5,3600,0.16682547107338905,0.05314611814777917,0.16258302199654281,0.056421004825236765
3600,10,1,12,100,200,SG,30,30,SPOPlus,0.001,0.19488217870761215,2939,2940,5,3600,0.19488217875361444,0.0685913224949157,0.19010899444296955,0.06821941711320087
3600,10,1,12,100,200,SG,50,10,SPOPlus,0.001,0.20924681466567166,4949,4950,5,3600,0.20924681559205055,0.06998581973605213,0.20654067216441035,0.06629188873069812
3600,10,1,12,100,200,SG,30,10,SPOPlus,0.001,0.10080649761787201,3359,3360,5,3600,0.10080649822950363,0.03006262179429935,0.10184443501383066,0.03557530661239425
3600,10,1,12,100,200,SG,30,50,SPOPlus,0.001,0.20876409271075203,2069,2070,5,3600,0.20876409426331521,0.06206610046061445,0.21130499484017493,0.06503093581169564
3600,10,1,12,100,200,SG,50,5,SPOPlus,0.001,0.08770815554963185,6153,6154,5,3600,0.08770815648138523,0.03253451627086668,0.0803216811195016,0.03179500357254403
3600,10,1,12,100,200,SG,50,50,SPOPlus,0.001,0.25066531187432883,1499,1500,5,3600,0.25066531270742415,0.07219495864057161,0.24296167786419393,0.06922092064161121
3600,10,1,12,100,200,SG,50,30,SPOPlus,0.001,0.13541273964204895,2299,2300,5,3600,0.13541274040937423,0.04478452054794027,0.13122381857037543,0.04591468096930939
3600,10,1,12,100,200,SG,1,5,SPOPlus,0.01,0.07528255323316707,371,372,5,3600,0.07528255347162485,0.03187116129109887,0.07654333587316796,0.032681849293404695
3600,10,1,12,100,200,SG,1,10,SPOPlus,0.01,0.06447655210189226,198,199,5,3600,0.06447655225172638,0.028044023816131743,0.06292597748804837,0.02591296585138549
60,10,1,12,100,200,cla,0,0,IMLE,0.01,0.20656836168849557,6,6,5,60,0.20656836248934268,0.07189633458148938,0.20768886905163528,0.06452731101545114
3600,10,1,12,100,200,SG,1,30,SPOPlus,0.01,0.0818241605175584,133,134,5,3600,0.0818241611123085,0.03710711824935833,0.07824911349918694,0.03077178132995268
60,10,1,12,100,200,MSE,0,0,IMLE,0.01,0.12767706191192718,7066,7066,5,60,0.12767706248909236,0.15242285481522508,0.13169763031601905,0.15738725280894061
30,10,1,12,100,200,cla,0,0,IMLE,0.1,0.1391423629020824,2,2,5,30,0.1391423636674881,0.045230121274515485,0.13940792952477932,0.053613281175247114
3600,10,1,12,100,200,SG,10,5,SPOPlus,0.01,0.09191762020927398,2603,2604,5,3600,0.09191762099042534,0.04112775126438847,0.09174549798667431,0.047468287139204764
3600,10,1,12,100,200,SG,10,10,SPOPlus,0.01,0.08480431685472427,2869,2870,5,3600,0.08480431698262691,0.04442220177949194,0.0831290322043933,0.041386124772129614
30,10,1,12,100,200,cla,0,0,SPOPlus,0.001,0.16106662770637115,70,70,5,30,0.1610666286945343,0.05782828744965658,0.15621420416235923,0.06021162451817834
60,10,1,12,100,200,cla,0,0,IMLE,0.1,0.08517142608523731,3,3,5,60,0.08517142649739981,0.038377867220150366,0.08655896124988795,0.04294083561425487
30,10,1,12,100,200,MSE,0,0,IMLE,0.1,0.09119926964485599,3708,3708,5,30,0.09119926963932812,0.11289036360717575,0.08914184942189604,0.12301978092289856
3600,10,1,12,100,200,SG,1,50,SPOPlus,0.01,0.08735975474414111,78,79,5,3600,0.08735975528135896,0.03513682987223916,0.0832481322903186,0.03409557456405922
60,10,1,12,100,200,MSE,0,0,IMLE,0.1,0.08999617106922314,7068,7068,5,60,0.08999617098830641,0.11094173470676014,0.08891965278610588,0.12164416721160952
60,10,1,12,100,200,cla,0,0,SPOPlus,0.001,0.10353979350038191,171,171,5,60,0.1035397937707603,0.043506629556427485,0.09939796824008226,0.04877848393433191
30,10,1,12,100,200,SG,1,10,IMLE,0.001,0.34608376369842486,2,3,5,30,0.34608376502990723,0.09493749129823036,0.3474118872284889,0.09376474044467993
30,10,1,12,100,200,SG,1,5,IMLE,0.001,0.3327737206340865,5,6,5,30,0.3327737211436033,0.0925794495615583,0.3385912023112178,0.09608183518254633
30,10,1,12,100,200,SG,1,30,IMLE,0.001,0.3820423262640526,0,1,5,30,0.3820423280447722,0.12203911580928399,0.37377609468251466,0.10501954927754827
30,10,1,12,100,200,SG,1,50,IMLE,0.001,0.39489419332462783,-1,0,5,30,0.3948941934108734,0.10963586272738132,0.38907163473963735,0.10743122035079748
30,10,1,12,100,200,SG,10,5,IMLE,0.001,0.2590524925879074,24,25,5,30,0.2590524934232235,0.08512133065330398,0.2563505027145147,0.07800722335512328
30,10,1,12,100,200,SG,10,30,IMLE,0.001,0.3062681684630966,7,8,5,30,0.30626816987991334,0.09786964651383745,0.31315284272283317,0.09357744644101407
30,10,1,12,100,200,SG,10,10,IMLE,0.001,0.3315708905266612,9,10,5,30,0.3315708912909031,0.09616162021686953,0.33256796951591966,0.09209001668361184
30,10,1,12,100,200,SG,10,50,IMLE,0.001,0.3808715282348308,-1,0,5,30,0.38087153002619745,0.10093002874177064,0.37315970844775437,0.09914198085804546
30,10,1,12,100,200,SG,30,5,IMLE,0.001,0.282023443342335,29,30,5,30,0.2820234441012144,0.08626798585126333,0.28355265336483715,0.08793727574169394
30,10,1,12,100,200,cla,0,0,SPOPlus,0.01,0.035004419211121005,29,29,5,30,0.03500441944692284,0.03502562116464694,0.03718826195364818,0.048633372602968544
30,10,1,12,100,200,SG,30,30,IMLE,0.001,0.31804184576561645,5,6,5,30,0.318041847422719,0.09030517610576046,0.3181352818608284,0.09379560016758691
30,10,1,12,100,200,cla,0,0,SPOPlus,0.1,0.037215734138544086,6,6,5,30,0.03721573431044817,0.03467259855651478,0.03600710809160955,0.04232149020068496
300,10,1,12,100,200,cla,0,0,IMLE,0.01,0.06922584440124437,21,21,5,300,0.06922584485262633,0.048032313887090713,0.07253421563841403,0.052294249365516715
30,10,1,12,100,200,SG,30,10,IMLE,0.001,0.2532647769339033,29,30,5,30,0.25326477736234665,0.0801353092453546,0.26326007618755104,0.08406501031542027
30,10,1,12,100,200,SG,30,50,IMLE,0.001,0.3727569840212706,-1,0,5,30,0.37275698520243167,0.1142627081198624,0.37341385037451985,0.10424530712855258
60,10,1,12,100,200,cla,0,0,SPOPlus,0.01,0.03600858548782824,37,37,5,60,0.03600858571240678,0.04049731721062478,0.03812320938706398,0.05179480602545177
300,10,1,12,100,200,cla,0,0,IMLE,0.1,0.0436008837673209,15,15,5,300,0.043600883865728975,0.03586113187302318,0.04445668144430965,0.04716969220173005
30,10,1,12,100,200,SG,50,5,IMLE,0.001,0.2529882477027979,35,36,5,30,0.25298824690282345,0.06854929411911331,0.25990651540458204,0.08072340556008469
30,10,1,12,100,200,SG,50,10,IMLE,0.001,0.301442392485779,14,15,5,30,0.30144239351153373,0.0895197232485089,0.29904326977580786,0.08784092164841968
60,10,1,12,100,200,cla,0,0,SPOPlus,0.1,0.033976669323142306,8,8,5,60,0.03397666956298053,0.026859641651850494,0.034389065301744265,0.03752201466783915
30,10,1,12,100,200,SG,50,30,IMLE,0.001,0.3311267394108785,8,9,5,30,0.3311267391592264,0.09587543169338454,0.32659711109101774,0.09013671703342986
30,10,1,12,100,200,SG,50,50,IMLE,0.001,0.387949388276135,-1,0,5,30,0.3879493897408247,0.10561099511605607,0.3824122531041503,0.10894208375190297
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.349023539541807,5,6,5,60,0.34902354001998903,0.10204666241013832,0.3527236581817269,0.09922148882866354
60,10,1,12,100,200,SG,1,5,IMLE,0.001,0.32444700618200406,5,6,5,60,0.32444700635969637,0.10297141742826575,0.3273776828572154,0.10001351912457734
60,10,1,12,100,200,SG,1,30,IMLE,0.001,0.3611815055353152,1,2,5,60,0.3611815072596073,0.11988952385057036,0.35922262220084666,0.10569207275710653
300,10,1,12,100,200,MSE,0,0,IMLE,0.01,0.11596074618854084,35798,35798,5,300,0.11596074708737433,0.16625902547522725,0.11980449525639415,0.16285472999448275
60,10,1,12,100,200,SG,10,30,IMLE,0.001,0.2728728895817707,15,16,5,60,0.2728728900104761,0.07400496137859904,0.2717820283398032,0.08341259781836262
60,10,1,12,100,200,SG,10,5,IMLE,0.001,0.26856427552391676,50,51,5,60,0.26856427520513537,0.07705937810483472,0.27270567854493855,0.0808410805494887
300,10,1,12,100,200,cla,0,0,SPOPlus,0.001,0.1717132589396519,865,865,5,300,0.1717132592946291,0.06108377403648352,0.1702535997349769,0.06240292808146105
60,10,1,12,100,200,SG,1,50,IMLE,0.001,0.37612622604986606,-1,0,5,60,0.37612622626125813,0.10068670090124172,0.3818138668760657,0.10239827703016416
60,10,1,12,100,200,SG,10,10,IMLE,0.001,0.252266786149045,19,20,5,60,0.2522667866945267,0.08137677298139277,0.25584894480928777,0.07456271747228699
60,10,1,12,100,200,SG,30,5,IMLE,0.001,0.27050737603477276,49,50,5,60,0.2705073767900467,0.08396879937092307,0.2708090757653117,0.08273923599620715
60,10,1,12,100,200,SG,30,10,IMLE,0.001,0.15249846677163525,59,60,5,60,0.15249846704304218,0.06793418791701,0.16247404612973332,0.0670654862750286
60,10,1,12,100,200,SG,10,50,IMLE,0.001,0.37841737086990873,-1,0,5,60,0.3784173708409071,0.10823158722996928,0.3765047135129571,0.10857000070839472
60,10,1,12,100,200,SG,30,50,IMLE,0.001,0.208171944704308,28,29,5,60,0.20817194536328315,0.06401148733595732,0.21201781915873288,0.06904949214065738
60,10,1,12,100,200,SG,30,30,IMLE,0.001,0.21606022346058856,29,30,5,60,0.21606022387742996,0.07611898906024409,0.2138944710046053,0.06813207565556062
300,10,1,12,100,200,MSE,0,0,IMLE,0.1,0.09203210615829177,36626,36626,5,300,0.09203210659325123,0.11458906063090833,0.08958641715859994,0.12369279657295944
60,10,1,12,100,200,SG,50,10,IMLE,0.001,0.25982420875541984,60,61,5,60,0.25982421085238455,0.0772972384552446,0.26343287248909475,0.07491746324091429
60,10,1,12,100,200,SG,50,5,IMLE,0.001,0.2713428898979927,67,68,5,60,0.2713428906351328,0.0825030807067048,0.2668028910011053,0.08014598547893492
60,10,1,12,100,200,SG,50,50,IMLE,0.001,0.4107862906392433,-1,0,5,60,0.4107862922549248,0.10777139057399268,0.3955918636843562,0.10980033039141074
60,10,1,12,100,200,SG,50,30,IMLE,0.001,0.1535621193202824,49,50,5,60,0.1535621192678809,0.06083709008224649,0.154829961322248,0.06123978596985036
300,10,1,12,100,200,cla,0,0,SPOPlus,0.01,0.03636537366798819,63,63,5,300,0.03636537376325578,0.03566680149373964,0.03713016527541913,0.048243992484984774
600,10,1,12,100,200,cla,0,0,IMLE,0.01,0.05104218995794957,35,35,5,600,0.05104219007305801,0.04579733904469248,0.0529492386765778,0.05707460824063143
300,10,1,12,100,200,cla,0,0,SPOPlus,0.1,0.031080049696609477,19,19,5,300,0.0310800497722812,0.016605791761962124,0.03172675045672804,0.02699436203134117
600,10,1,12,100,200,cla,0,0,IMLE,0.1,0.04202715801081526,33,33,5,600,0.04202715812250972,0.032051068679280384,0.04138643029006198,0.03825716406397355
300,10,1,12,100,200,SG,1,5,IMLE,0.001,0.31731257989331935,62,63,5,300,0.3173125809431076,0.08101927846647725,0.31820296168327333,0.08216722359381619
300,10,1,12,100,200,SG,1,10,IMLE,0.001,0.3231950583685775,32,33,5,300,0.32319505855441094,0.08813747964748202,0.3214473277926445,0.08950146567195659
300,10,1,12,100,200,SG,1,50,IMLE,0.001,0.3660476353531965,5,6,5,300,0.36604763582348826,0.10808639576723457,0.35965642339736226,0.10557815823875397
600,10,1,12,100,200,cla,0,0,SPOPlus,0.001,0.1796271033665095,1711,1711,5,600,0.1796271039545536,0.06391192537412423,0.17627234987728296,0.061820040061665776
300,10,1,12,100,200,SG,10,10,IMLE,0.001,0.2954929348031385,109,110,5,300,0.295492934063077,0.08851305715983712,0.3006331117898226,0.09045475623541563
300,10,1,12,100,200,SG,10,5,IMLE,0.001,0.1740616626022258,176,177,5,300,0.17406166307628154,0.0653945140999544,0.18052886321023107,0.0725160031010767
300,10,1,12,100,200,SG,1,30,IMLE,0.001,0.3167327773501065,11,12,5,300,0.3167327792197466,0.09437871422773707,0.3211555647701025,0.09575897030558195
300,10,1,12,100,200,SG,10,30,IMLE,0.001,0.25890658613091017,39,40,5,300,0.25890658646821973,0.07320822954210215,0.2568807252943516,0.08071455858381466
300,10,1,12,100,200,SG,30,5,IMLE,0.001,0.19664860582926066,261,262,5,300,0.19664860606193543,0.07099965407938497,0.20034515617787838,0.07478138911363867
300,10,1,12,100,200,SG,30,10,IMLE,0.001,0.1578063061585908,303,304,5,300,0.15780630704015494,0.06510090523180892,0.15572055901028217,0.0699093965075857
300,10,1,12,100,200,SG,30,30,IMLE,0.001,0.17255543351146518,181,182,5,300,0.17255543377250432,0.06314223240568886,0.17555788169056177,0.0630356983819591
600,10,1,12,100,200,MSE,0,0,IMLE,0.01,0.09037683803483983,66220,66220,5,600,0.09037683852016926,0.15526246489870402,0.08850375741859898,0.1493448067066699
300,10,1,12,100,200,SG,10,50,IMLE,0.001,0.27537083193852213,59,60,5,300,0.2753708317875862,0.08432857412990623,0.2686623180657625,0.08028830212089243
600,10,1,12,100,200,MSE,0,0,IMLE,0.1,0.0929318997178563,72043,72043,5,600,0.09293190033175051,0.11428574223883411,0.09037687443569302,0.12266477819544515
300,10,1,12,100,200,SG,30,50,IMLE,0.001,0.1946867087060107,136,137,5,300,0.19468671016395092,0.0640842124382485,0.19554428757727146,0.06636622118654567
